id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,75366,0,1,511,153,328.0,34.015625,1.0387611389160156,0.9618004560470581,0,0,512,311
1,77278,0,154,511,155,424.0,170.078125,1.0341264009475708,0.983540952205658,0,0,512,311
2,155522,0,1,511,308,392.0,228.390625,1.0233181715011597,0.9726741313934326,0,0,512,311
3,127,241,175,12,11,248.0,179.796875,0.9782611131668091,0.984375,0,0,512,311
4,178,494,262,17,14,504.0,267.265625,0.9771516919136047,0.9834254384040833,0,0,512,311
5,206,90,225,14,17,104.0,228.390625,0.9754306674003601,0.9523809552192688,0,0,512,311
6,172,133,104,13,14,136.0,111.765625,0.9729498624801636,0.966292142868042,0,0,512,311
7,234,342,275,13,23,344.0,286.703125,0.9707548022270203,0.9661017060279846,0,0,512,311
8,2354,0,147,444,12,168.0,150.640625,0.9658603668212891,0.9532478451728821,0,0,512,311
9,179,134,127,15,15,136.0,131.203125,0.9623075127601624,1.0,0,0,512,311
10,103,437,95,9,12,440.0,102.046875,0.9615457653999329,0.9805825352668762,0,0,512,311
11,109,316,214,12,11,328.0,218.671875,0.9599589109420776,0.9818181991577148,0,0,512,311
12,170,134,35,10,23,136.0,43.734375,0.9546109437942505,0.9653179049491882,0,0,512,311
13,200,162,204,17,17,168.0,208.953125,0.9521210193634033,0.9607843160629272,0,0,512,311
14,129,160,224,10,16,168.0,238.109375,0.9515537023544312,1.0,0,0,512,311
15,130,93,255,13,13,104.0,257.546875,0.9506726264953613,0.9552238583564758,0,0,512,311
16,143,179,36,16,11,184.0,43.734375,0.9494771361351013,0.965753436088562,0,0,512,311
17,113,279,164,11,10,280.0,170.078125,0.9491574168205261,0.9826086759567261,0,0,512,311
18,190,261,93,18,14,264.0,102.046875,0.9467891454696655,0.9639175534248352,0,0,512,311
19,63,273,77,8,8,280.0,82.609375,0.9426398873329163,0.9841269850730896,0,0,512,311
20,288,174,134,26,16,200.0,140.921875,0.9423714280128479,0.9595959782600403,0,0,512,311
21,248,231,236,18,19,248.0,238.109375,0.94175124168396,0.960629940032959,0,0,512,311
22,91,275,221,10,10,280.0,228.390625,0.941251277923584,0.989130437374115,0,0,512,311
23,138,222,119,11,16,232.0,131.203125,0.9349097609519958,0.9637681245803833,0,0,512,311
24,98,252,78,12,9,264.0,82.609375,0.9317890405654907,0.9696969985961914,0,0,512,311
25,143,98,0,11,13,104.0,4.859375,0.9314961433410645,0.9513888955116272,0,0,512,311
26,408,104,48,25,27,120.0,63.171875,0.9306230545043945,0.9543269276618958,0,0,512,311
27,147,365,83,13,14,376.0,92.328125,0.930294930934906,0.9863945841789246,0,0,512,311
28,103,119,35,9,14,120.0,43.734375,0.9257885813713074,0.9903846383094788,0,0,512,311
29,26,452,72,6,4,456.0,72.890625,0.9246249794960022,0.9615384340286255,0,0,512,311
30,137,435,215,11,14,440.0,218.671875,0.9220361709594727,0.9781022071838379,0,0,512,311
31,87,374,136,8,11,376.0,140.921875,0.9216222167015076,0.977011501789093,0,0,512,311
32,81,316,35,11,9,328.0,34.015625,0.9214852452278137,0.9878048896789551,0,0,512,311
33,117,149,302,14,8,152.0,306.140625,0.9186239838600159,0.9830508232116699,0,0,512,311
34,94,301,86,11,10,312.0,92.328125,0.9163126349449158,0.9789473414421082,0,0,512,311
35,28,132,259,5,8,136.0,267.265625,0.9042217135429382,0.9642857313156128,0,0,512,311
36,18,229,161,3,5,232.0,160.359375,0.9007941484451294,1.0,0,0,512,311
37,59,340,21,9,7,344.0,24.296875,0.8846548795700073,0.949999988079071,0,0,512,311